Year,Cause,Sex,Deaths2,Deaths3,Deaths4,Deaths5,Deaths6,Deaths7,Deaths8,Deaths9,Deaths10,Deaths11,Deaths12,Deaths13,Deaths14,Deaths15,Deaths16,Deaths17,Deaths18,Deaths19,Deaths20,Deaths21,Deaths22,Deaths23,Deaths24,Deaths25,Deaths26,IM_Deaths1,IM_Deaths2,IM_Deaths3,IM_Deaths4
1979,B016,1,43,0,0,0,0,0,1,2,0,2,0,1,1,0,2,3,4,4,4,5,4,5,,,0,0,3,2,38
1979,B016,2,35,1,0,0,0,0,0,0,1,1,0,2,0,3,0,1,2,1,5,6,6,7,,,0,0,0,0,35
1979,B019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0
1979,B019,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
1979,B02,1,1,0,1,2,1,0,2,1,5,12,24,34,59,81,105,133,129,186,180,179,114,122,,,0,0,0,0,1
1979,B02,2,0,2,0,1,0,1,0,3,5,14,12,20,18,34,43,67,48,65,63,70,75,95,,,0,0,0,0,0
1979,B020,1,0,0,0,0,0,0,1,0,4,8,19,29,54,70,90,120,116,159,161,158,99,106,,,0,0,0,0,0
1979,B020,2,0,0,0,0,0,0,0,2,3,8,8,12,13,21,32,50,29,46,43,53,52,70,,,0,0,0,0,0
1979,B021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,3,1,0,,,0,0,0,0,0
1979,B021,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,3,1,0,1,,,0,0,0,0,0
1979,B022,1,0,0,1,2,1,0,1,0,1,1,1,1,1,2,2,0,0,5,2,0,1,0,,,0,0,0,0,0
1979,B022,2,0,1,0,0,0,1,0,0,1,2,0,1,1,6,0,2,1,0,2,0,2,0,,,0,0,0,0,0
1979,B023,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,2,,,0,0,0,0,0
1979,B023,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,,,0,0,0,0,0
1979,B024,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,2,4,0,0,2,,,0,0,0,0,0
1979,B024,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,7,1,2,4,8,,,0,0,0,0,0
1979,B025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,1,2,,,0,0,0,0,0
1979,B025,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,2,,,0,0,0,0,0
1979,B029,1,1,0,0,0,0,0,0,0,0,3,3,4,4,8,8,10,7,16,12,15,12,10,,,0,0,0,0,1
1979,B029,2,0,0,0,1,0,0,0,1,1,3,4,7,3,5,9,13,13,7,13,12,15,14,,,0,0,0,0,0
1979,B03,1,202,55,22,22,12,22,14,39,42,37,50,46,71,128,201,272,373,513,569,597,552,635,,,0,0,0,4,198
1979,B03,2,171,25,22,15,9,17,20,32,23,30,43,49,73,82,149,241,282,425,540,603,636,979,,,0,2,0,1,168
1979,B030,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
1979,B030,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0,0,0,0
1979,B031,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,0,0,0,0,0
1979,B031,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
1979,B032,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,,0,0,0,0,0
1979,B032,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
1979,B033,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
1979,B033,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
1979,B034,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
1979,B034,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,6
1979,B035,1,2,2,0,0,0,0,1,0,0,0,1,0,3,1,0,0,0,0,1,1,1,1,,,0,0,0,0,2
1979,B035,2,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,1,1,0,2,2,,,0,0,0,0,0
1979,B036,1,56,34,12,14,8,8,5,16,14,4,7,6,4,7,5,8,7,4,4,4,2,5,,,0,0,0,4,52
1979,B036,2,33,15,14,6,4,5,8,14,1,6,2,6,4,4,4,14,9,6,10,1,3,1,,,0,0,0,1,32
1979,B037,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,3,1,3,1,0,,,0,0,0,0,0
